fromEventId,toEventId,relationship
evt_fee_june_1000,evt_sale_june_1000,belongs_to
evt_fee_june_80,evt_sale_june_80,belongs_to
evt_fee_june_120,evt_sale_june_120,belongs_to
evt_fee_sub_june,evt_sale_sub_june,belongs_to
evt_fee_eur_200,evt_sale_eur_200,belongs_to
evt_fee_july_150,evt_sale_july_150,belongs_to
evt_fee_july_90,evt_sale_july_90,belongs_to
evt_fee_sub_july,evt_sale_sub_july,belongs_to
evt_fee_ident_a,evt_sale_ident_a,belongs_to
evt_fee_ident_b,evt_sale_ident_b,belongs_to
evt_fee_unbal,evt_sale_unbal,belongs_to
evt_fee_gum_45,evt_sale_gum_45,belongs_to
evt_fee_dodo_60,evt_sale_dodo_60,belongs_to
evt_fee_dodo_35,evt_sale_dodo_35,belongs_to
evt_refund_july_200,evt_sale_june_1000,refunds
evt_refund_partial_30,evt_sale_july_150,refunds
evt_refund_ident,evt_sale_ident_a,refunds
evt_refund_dodo_10,evt_sale_dodo_35,refunds
evt_dispute_50,evt_sale_july_150,disputes
evt_chargeback_40,evt_sale_july_90,disputes
evt_dispute_dodo,evt_sale_dodo_35,disputes
evt_sale_eur_200,evt_fx_eur_usd,converts_into
evt_sale_june_80,evt_payout_june_multi,settles_into
evt_sale_june_120,evt_payout_june_multi,settles_into
evt_sale_sub_june,evt_payout_june_multi,settles_into
evt_fee_june_80,evt_payout_june_multi,settles_into
evt_fee_june_120,evt_payout_june_multi,settles_into
evt_fee_sub_june,evt_payout_june_multi,settles_into
evt_sale_june_1000,evt_payout_july_cross,settles_into
evt_fee_june_1000,evt_payout_july_cross,settles_into
evt_refund_july_200,evt_payout_july_cross,settles_into
evt_sale_eur_200,evt_payout_july_fx,settles_into
evt_fee_eur_200,evt_payout_july_fx,settles_into
evt_fx_eur_usd,evt_payout_july_fx,settles_into
evt_sale_july_150,evt_payout_july_ops,settles_into
evt_fee_july_150,evt_payout_july_ops,settles_into
evt_refund_partial_30,evt_payout_july_ops,settles_into
evt_sale_july_90,evt_payout_july_ops,settles_into
evt_fee_july_90,evt_payout_july_ops,settles_into
evt_dispute_50,evt_payout_july_ops,settles_into
evt_chargeback_40,evt_payout_july_ops,settles_into
evt_sale_sub_july,evt_payout_july_ops,settles_into
evt_fee_sub_july,evt_payout_july_ops,settles_into
evt_sale_ident_a,evt_payout_july_ops,settles_into
evt_fee_ident_a,evt_payout_july_ops,settles_into
evt_sale_ident_b,evt_payout_july_ops,settles_into
evt_fee_ident_b,evt_payout_july_ops,settles_into
evt_sale_unbal,evt_payout_unbal,settles_into
evt_fee_unbal,evt_payout_unbal,settles_into
evt_sale_gum_45,evt_payout_gum,settles_into
evt_fee_gum_45,evt_payout_gum,settles_into
evt_sale_dodo_60,evt_payout_dodo,settles_into
evt_fee_dodo_60,evt_payout_dodo,settles_into
evt_sale_dodo_35,evt_payout_dodo_july,settles_into
evt_fee_dodo_35,evt_payout_dodo_july,settles_into
evt_refund_dodo_10,evt_payout_dodo_july,settles_into
evt_dispute_dodo,evt_payout_dodo_july,settles_into
evt_payout_june_multi,evt_bank_june_multi,deposited_as
evt_payout_gum,evt_bank_gum,deposited_as
evt_payout_dodo,evt_bank_dodo_june,deposited_as
evt_payout_july_cross,evt_bank_july_cross,deposited_as
evt_payout_july_fx,evt_bank_july_fx,deposited_as
evt_payout_july_ops,evt_bank_july_ops,deposited_as
evt_payout_dodo_july,evt_bank_dodo_july,deposited_as
evt_payout_unbal,evt_bank_unbal,deposited_as
